Gene1,Gene2
RB1CC1,TP53
TP53,RB1CC1
CREB3L3,CREB3L4
CREB3L4,CREB3L3
CREB3L3,CREB3L2
CREB3L2,CREB3L3
CREB3L3,CREB1
CREB1,CREB3L3
CREB3L3,APOA4
CREB3L3,NFIL3
NFIL3,CREB3L3
CREB3L3,ATF4
ATF4,CREB3L3
CREB3L3,EP300
EP300,CREB3L3
CREB3L3,APOC2
CREB3L3,APOA5
CREB3L3,ATF1
ATF1,CREB3L3
CREB3L3,CREB3
CREB3,CREB3L3
HDAC7,GATAD2B
GATAD2B,HDAC7
HDAC7,HIST2H2BE
HIST2H2BE,HDAC7
HDAC7,HDAC3
HDAC3,HDAC7
HDAC7,EED
EED,HDAC7
HDAC7,H2AFZ
HDAC7,SUMO1
HDAC7,HDAC2
HDAC2,HDAC7
HDAC7,NCOR1
NCOR1,HDAC7
HDAC7,SUZ12
SUZ12,HDAC7
HDAC7,RBBP4
RBBP4,HDAC7
HDAC7,REST
REST,HDAC7
HDAC7,CHD4
CHD4,HDAC7
HDAC7,SIRT2
SIRT2,HDAC7
HDAC7,SIRT1
SIRT1,HDAC7
HDAC7,RFXANK
RFXANK,HDAC7
HDAC7,EGR1
EGR1,HDAC7
HDAC7,HDAC1
HDAC1,HDAC7
HDAC7,SALL4
SALL4,HDAC7
HDAC7,NCOR2
NCOR2,HDAC7
HDAC7,JUN
JUN,HDAC7
HDAC7,MTA3
MTA3,HDAC7
HDAC7,HDAC5
HDAC5,HDAC7
HDAC7,TP53
TP53,HDAC7
HDAC7,MAML1
MAML1,HDAC7
HDAC7,TBL1X
TBL1X,HDAC7
HDAC7,GATAD2A
GATAD2A,HDAC7
HDAC7,EP300
EP300,HDAC7
HDAC7,RNF2
RNF2,HDAC7
HDAC7,MAF1
MAF1,HDAC7
HDAC7,EZH2
EZH2,HDAC7
HDAC7,SNW1
SNW1,HDAC7
HDAC7,PHC1
HDAC7,RBBP7
RBBP7,HDAC7
HDAC7,RBPJ
RBPJ,HDAC7
BCL3,MAPK1
MAPK1,BCL3
BCL3,JUN
JUN,BCL3
BCL3,NFKB2
NFKB2,BCL3
BCL3,NFKB1
NFKB1,BCL3
BCL3,RELA
RELA,BCL3
TRIP13,CDK1
TRIP13,TOP2A
TRIP13,PTTG1
PTTG1,TRIP13
TRIP13,DTL
TRIP13,KIAA0101
TRIP13,CENPN
TRIP13,CENPF
TRIP13,HJURP
TRIP13,RAD51
RAD51,TRIP13
TRIP13,ASPM
TRIP13,DOT1L
DOT1L,TRIP13
TRIP13,CDC5L
CDC5L,TRIP13
TRIP13,DLGAP5
TRIP13,CDC20
TRIP13,CCNA2
TRIP13,CCNB2
TRIP13,FANCI
TRIP13,MCM10
TRIP13,BUB1B
TRIP13,FOXM1
FOXM1,TRIP13
TRIP13,CENPM
TRIP13,HMMR
TRIP13,ZWILCH
TRIP13,TPX2
TRIP13,CDKN3
TRIP13,CCNB1
TRIP13,AURKB
TRIP13,RRM2
TRIP13,MAD2L1
TRIP13,FEN1
TRIP13,CDC45
TRIP13,MCM2
MCM2,TRIP13
TRIP13,RAD51AP1
TRIP13,UBE2C
TRIP13,PLK1
TRIP13,BUB1
TRIP13,ZWINT
TRIP13,GINS2
TRIP13,VRK1
TRIP13,BIRC5
TRIP13,THRB
THRB,TRIP13
TRIP13,MCM4
MCM4,TRIP13
TRIP6,NR3C1
NR3C1,TRIP6
TRIP6,SULT1A1
TRIP6,PKM
TRIP6,JUN
JUN,TRIP6
TRIP6,FOS
FOS,TRIP6
TRIP6,UBE2C
TRIP6,EXOSC8
TFAP2C,TP53
TP53,TFAP2C
TFAP2C,EGFR
EGFR,TFAP2C
TFAP2C,YY1
YY1,TFAP2C
TFAP2C,SUMO1
TFAP2C,CDKN1A
CDKN1A,TFAP2C
TFAP2C,YEATS4
YEATS4,TFAP2C
TFAP2C,EP300
EP300,TFAP2C
TFAP2C,PITX2
PITX2,TFAP2C
TFAP2C,MYC
MYC,TFAP2C
TFAP2C,PRDM14
PRDM14,TFAP2C
MCM5,CDC6
MCM6,CDC6
PTTG1,CDC6
MYBL2,CDC6
E2F7,CDC6
E2F8,CDC6
RAD51,CDC6
RBBP4,CDC6
ATM,CDC6
ORC2,CDC6
MYC,CDC6
E2F4,CDC6
FOXM1,CDC6
KAT7,CDC6
MCM7,CDC6
SRF,CDC6
E2F5,CDC6
TFDP1,CDC6
CDKN1A,CDC6
E2F2,CDC6
KAT6B,CDC6
MCM2,CDC6
MCM8,CDC6
BRCA1,CDC6
ESPL1,CDC6
MCM3,CDC6
MCM4,CDC6
UHRF1,CDC6
HDAC5,CBX5
HIST1H1B,CBX5
TFDP1,CBX5
HDAC2,CBX5
HIST1H1E,CBX5
EHMT2,CBX5
RBBP4,CBX5
CHAF1A,CBX5
CHD4,CBX5
DNMT1,CBX5
PHF21A,CBX5
DNMT3B,CBX5
TRIM28,CBX5
HDAC1,CBX5
SIRT1,CDK1
SIRT1,HMGB1
SIRT1,HIST2H2BE
HIST2H2BE,SIRT1
SIRT1,XRCC5
XRCC5,SIRT1
SIRT1,HDAC3
HDAC3,SIRT1
SIRT1,H2AFZ
SIRT1,HDAC2
HDAC2,SIRT1
SIRT1,NCOR1
NCOR1,SIRT1
SIRT1,NR1H3
NR1H3,SIRT1
SIRT1,EPAS1
EPAS1,SIRT1
SIRT1,DOT1L
DOT1L,SIRT1
SIRT1,TAF1B
TAF1B,SIRT1
SIRT1,RBBP4
RBBP4,SIRT1
SIRT1,ATM
ATM,SIRT1
SIRT1,FOXO1
FOXO1,SIRT1
SIRT1,CHD4
CHD4,SIRT1
SIRT1,SIRT2
SIRT2,SIRT1
SIRT1,DNMT3B
DNMT3B,SIRT1
