Gene1,Gene2
KLF6,JUN
JUN,KLF6
KLF6,ATF3
ATF3,KLF6
KLF6,BTG2
BTG2,KLF6
PA2G4,ACTR2
CDC5L,ACTR2
DAB2,ACTR2
BIN1,ACTR2
MAPK1,ACTR2
RGS14,ITGB2
PPARG,SIRT1
SIRT1,PPARG
PPARG,CREB1
CREB1,PPARG
PPARG,ABCG1
PPARG,STAT6
STAT6,PPARG
PPARG,ACTB
PPARG,UCP2
PPARG,SP1
SP1,PPARG
PPARG,MED1
MED1,PPARG
PPARG,MAPK14
MAPK14,PPARG
PPARG,NCOA2
NCOA2,PPARG
PPARG,RUNX2
RUNX2,PPARG
PPARG,CTNNB1
CTNNB1,PPARG
PPARG,CEBPB
CEBPB,PPARG
PPARG,SREBF1
SREBF1,PPARG
PPARG,SMARCA4
SMARCA4,PPARG
PPARG,PIAS1
PIAS1,PPARG
PPARG,AKT1
AKT1,PPARG
PPARG,NCOR2
NCOR2,PPARG
PPARG,LPL
PPARG,TNF
TNF,PPARG
PPARG,CEBPA
CEBPA,PPARG
PPARG,NCOA1
NCOA1,PPARG
PPARG,CREBBP
CREBBP,PPARG
RAF1,IQGAP1
RAF1,NFKB1
NFKB1,RAF1
RAF1,YWHAZ
RAF1,LSP1
RAF1,UBC
RAF1,MAPK3
MAPK3,RAF1
RAF1,PRKCD
RAF1,MAPK1
MAPK1,RAF1
RAF1,RHOA
RAF1,HSP90AB1
RAF1,RPS27A
RAF1,RELA
RELA,RAF1
RAF1,YWHAE
RAF1,WWP1
WWP1,RAF1
RAF1,AKT1
AKT1,RAF1
MCM7,TIMELESS
TIMELESS,MCM7
MCM7,RBL1
RBL1,MCM7
MCM7,MCM5
MCM5,MCM7
MCM7,POLR2B
POLR2B,MCM7
MCM7,RPS27A
MCM7,RAD51
RAD51,MCM7
MCM7,SSRP1
SSRP1,MCM7
MCM7,MCM2
MCM2,MCM7
MCM7,MCM4
MCM4,MCM7
MCM7,UBC
MCM7,DNMT1
DNMT1,MCM7
MCM7,ORC2
ORC2,MCM7
MCM7,MCM3
MCM3,MCM7
MCM7,MCM6
MCM6,MCM7
PA2G4,GM2A
MAPK1,GM2A
PA2G4,RPL13
RNPS1,RPL13
CDC5L,RPL13
UPF1,RPL13
SMARCB1,ARID1B
ARID1B,SMARCB1
SMARCB1,HDAC2
HDAC2,SMARCB1
SMARCB1,BRD7
BRD7,SMARCB1
SMARCB1,CDC5L
CDC5L,SMARCB1
SMARCB1,TBL1X
TBL1X,SMARCB1
SMARCB1,ACTG1
SMARCB1,SMARCE1
SMARCE1,SMARCB1
SMARCB1,DPF2
DPF2,SMARCB1
SMARCB1,CBFB
CBFB,SMARCB1
SMARCB1,PBRM1
PBRM1,SMARCB1
SMARCB1,ACTB
SMARCB1,RUNX1
RUNX1,SMARCB1
SMARCB1,SMARCC2
SMARCC2,SMARCB1
SMARCB1,TRP53
TRP53,SMARCB1
SMARCB1,SMARCD2
SMARCD2,SMARCB1
SMARCB1,YEATS4
YEATS4,SMARCB1
SMARCB1,SMARCA2
SMARCA2,SMARCB1
SMARCB1,BANF1
SMARCB1,SMARCA4
SMARCA4,SMARCB1
SMARCB1,DNMT3A
DNMT3A,SMARCB1
SMARCB1,SMARCC1
SMARCC1,SMARCB1
SMARCB1,ARID1A
ARID1A,SMARCB1
NFKB1,CFP
JUP,CFP
MXD1,SIN3A
SIN3A,MXD1
MXD1,SIN3B
SIN3B,MXD1
MXD1,MLXIP
MLXIP,MXD1
SP1,POLR2C
POLR2C,SP1
SP1,CREBBP
CREBBP,SP1
SP1,TAF6
TAF6,SP1
SP1,NCOA1
NCOA1,SP1
SP1,FOS
FOS,SP1
SP1,USF1
USF1,SP1
SP1,SMAD4
SMAD4,SP1
SP1,POLR2D
POLR2D,SP1
SP1,POLR2F
POLR2F,SP1
SP1,INTS12
INTS12,SP1
SP1,TAF11
TAF11,SP1
SP1,TAF9
TAF9,SP1
SP1,NCOA3
NCOA3,SP1
SP1,TRP53
TRP53,SP1
SP1,ELL2
ELL2,SP1
SP1,POLR2E
POLR2E,SP1
SP1,GTF2E2
GTF2E2,SP1
SP1,POLR2K
POLR2K,SP1
SP1,JUN
JUN,SP1
SP1,GTF2B
GTF2B,SP1
SP1,NCOA2
NCOA2,SP1
SP1,MAPK14
MAPK14,SP1
SP1,MED1
MED1,SP1
SP1,GTF2F2
GTF2F2,SP1
SP1,USF2
USF2,SP1
SP1,POLR2B
POLR2B,SP1
SP1,HDAC1
HDAC1,SP1
SP1,ZFP143
ZFP143,SP1
SP1,TAF13
TAF13,SP1
SP1,GTF2A2
GTF2A2,SP1
SP1,GTF2F1
GTF2F1,SP1
SP1,TBP
TBP,SP1
SP1,MDM2
MDM2,SP1
SP1,ELL
ELL,SP1
SP1,SNAPC2
SNAPC2,SP1
SP1,GTF2A1
GTF2A1,SP1
SP1,SMAD2
SMAD2,SP1
SP1,MAPK9
MAPK9,SP1
SP1,POLR2J
POLR2J,SP1
SP1,POLR2G
POLR2G,SP1
SP1,POLR2H
POLR2H,SP1
SP1,SRRT
SRRT,SP1
SP1,SNAPC5
SNAPC5,SP1
SP1,CREB1
CREB1,SP1
SP1,POLR2I
POLR2I,SP1
SND1,GTF2E2
GTF2E2,SND1
PA2G4,TUBB5
CDC5L,TUBB5
TUBA1A,TUBB5
MAPK1,TUBB5
ELL2,GTF2F2
GTF2F2,ELL2
ELL2,POLR2C
POLR2C,ELL2
ELL2,TAF6
TAF6,ELL2
ELL2,POLR2B
POLR2B,ELL2
ELL2,ZFP143
ZFP143,ELL2
ELL2,POLR2D
POLR2D,ELL2
ELL2,POLR2F
POLR2F,ELL2
ELL2,TAF13
TAF13,ELL2
ELL2,GTF2A2
GTF2A2,ELL2
ELL2,GTF2F1
GTF2F1,ELL2
ELL2,TBP
TBP,ELL2
ELL2,INTS12
INTS12,ELL2
ELL2,TAF11
TAF11,ELL2
ELL2,TAF9
TAF9,ELL2
ELL2,ELL
ELL,ELL2
ELL2,SNAPC2
SNAPC2,ELL2
ELL2,GTF2A1
GTF2A1,ELL2
ELL2,POLR2J
POLR2J,ELL2
ELL2,POLR2G
POLR2G,ELL2
ELL2,POLR2E
POLR2E,ELL2
ELL2,GTF2E2
GTF2E2,ELL2
ELL2,POLR2H
POLR2H,ELL2
ELL2,POLR2K
POLR2K,ELL2
ELL2,SRRT
SRRT,ELL2
ELL2,GTF2B
GTF2B,ELL2
ELL2,AFF4
AFF4,ELL2
ELL2,SNAPC5
SNAPC5,ELL2
ELL2,POLR2I
POLR2I,ELL2
JUP,LYZ2
JUP,CTSD
JUP,NFKB1
NFKB1,JUP
JUP,APC
APC,JUP
JUP,B2M
JUP,CTNNB1
CTNNB1,JUP
JUP,LYZ1
JUP,RAC1
JUP,TCF7L2
TCF7L2,JUP
JUP,CTSZ
FXR1,PABPC1
FXR1,FMR1
FMR1,FXR1
AKT1,DNMT1
DNMT1,AKT1
AKT1,MAP1LC3B
AKT1,CREBBP
CREBBP,AKT1
AKT1,FOS
FOS,AKT1
AKT1,CFL1
AKT1,SMAD4
SMAD4,AKT1
AKT1,NFE2L2
NFE2L2,AKT1
AKT1,MSN
AKT1,EZH2
EZH2,AKT1
AKT1,HSPA5
AKT1,ATF4
ATF4,AKT1
AKT1,FKBP1A
AKT1,ZFP36L1
ZFP36L1,AKT1
AKT1,TNF
TNF,AKT1
AKT1,PHF20
PHF20,AKT1
AKT1,PLEK
AKT1,IQGAP1
AKT1,TRP53
TRP53,AKT1
AKT1,MCL1
AKT1,NF1
NF1,AKT1
AKT1,VIM
AKT1,NCOR2
NCOR2,AKT1
AKT1,KLF4
KLF4,AKT1
AKT1,ID2
ID2,AKT1
AKT1,CDC42
AKT1,SREBF1
SREBF1,AKT1
AKT1,STAT5A
STAT5A,AKT1
AKT1,HSP90B1
AKT1,STAT3
STAT3,AKT1
AKT1,CTNNB1
CTNNB1,AKT1
AKT1,JUN
JUN,AKT1
AKT1,IKBKG
IKBKG,AKT1
AKT1,RELA
RELA,AKT1
AKT1,RUNX2
RUNX2,AKT1
AKT1,IKBKB
IKBKB,AKT1
AKT1,MAPK14
MAPK14,AKT1
AKT1,ATF2
ATF2,AKT1
AKT1,NR4A1
NR4A1,AKT1
